locus	sample	rep	mlength	MAPQ	mapped_origin	chrom	start	end	FLAG	QNAME
DRPLA	WGSrpt_08	67	150	25	ok	chr12	7045833	7045982	83	ST-E00106:367:H7CNJALXX:7:2117:4493:25411
DRPLA	WGSrpt_08	64	150	18	ok	chr12	7045860	7046009	163	ST-E00106:367:H7CNJALXX:7:2120:19086:56598
DRPLA	WGSrpt_08	67	150	39	ok	chr12	7045852	7046001	99	ST-E00106:367:H7CNJALXX:6:2118:13433:39212
DRPLA	WGSrpt_08	59	150	41	ok	chr12	7045806	7045926	99	ST-E00106:367:H7CNJALXX:6:2122:31061:60114
DRPLA	WGSrpt_08	35	150	40	ok	chr12	7045747	7045896	83	ST-E00106:367:H7CNJALXX:7:1103:25225:36188
DRPLA	WGSrpt_08	52	150	28	ok	chr12	7045880	7046033	83	ST-E00106:367:H7CNJALXX:7:2114:29944:71612
DRPLA	WGSrpt_08	69	150	44	ok	chr12	7045793	7045942	163	ST-E00106:367:H7CNJALXX:7:1224:4827:7603
DRPLA	WGSrpt_08	53	149	39	ok	chr12	7045771	7045919	99	ST-E00106:367:H7CNJALXX:6:2102:27468:66373
DRPLA	WGSrpt_08	55	150	44	ok	chr12	7045894	7046043	99	ST-E00106:367:H7CNJALXX:6:2212:3691:61644
DRPLA	WGSrpt_08	32	148	44	ok	chr12	7045920	7046067	163	ST-E00106:367:H7CNJALXX:6:2206:24322:11734
DRPLA	WGSrpt_08	18	150	44	ok	chr12	7045937	7046086	83	ST-E00106:367:H7CNJALXX:7:1103:9140:25728
DRPLA	WGSrpt_08	65	150	40	ok	chr12	7045882	7046031	83	ST-E00106:367:H7CNJALXX:6:1109:26200:60729
DRPLA	WGSrpt_08	40	148	40	ok	chr12	7045763	7045910	163	ST-E00106:367:H7CNJALXX:6:1109:26200:60729
DRPLA	WGSrpt_08	66	150	18	ok	chr12	7045876	7046025	99	ST-E00106:367:H7CNJALXX:7:2221:32248:43009
DRPLA	WGSrpt_08	35	148	44	ok	chr12	7045914	7046061	99	ST-E00106:367:H7CNJALXX:6:1202:20892:35643
DRPLA	WGSrpt_08	47	150	31	ok	chr12	7045886	7046049	147	ST-E00106:367:H7CNJALXX:7:2117:22698:6882
DRPLA	WGSrpt_08	52	149	21	ok	chr12	7045768	7045916	99	ST-E00106:367:H7CNJALXX:7:2117:22698:6882
DRPLA	WGSrpt_08	57	149	22	ok	chr12	7045865	7046023	83	ST-E00106:367:H7CNJALXX:6:1219:24698:12560
DRPLA	WGSrpt_08	68	148	44	ok	chr12	7045841	7045988	99	ST-E00106:367:H7CNJALXX:6:2214:19390:26993
DRPLA	WGSrpt_08	57	150	17	ok	chr12	7045860	7045987	163	ST-E00106:367:H7CNJALXX:7:2224:25154:42886
DRPLA	WGSrpt_08	26	148	44	ok	chr12	7045748	7045895	163	ST-E00106:367:H7CNJALXX:7:1104:8247:30685
DRPLA	WGSrpt_08	63	150	44	ok	chr12	7045809	7045956	147	ST-E00106:367:H7CNJALXX:6:2215:27296:31019
DRPLA	WGSrpt_08	60	150	40	ok	chr12	7045782	7045931	163	ST-E00106:367:H7CNJALXX:6:1215:28950:4807
DRPLA	WGSrpt_08	64	148	39	ok	chr12	7045841	7045988	99	ST-E00106:367:H7CNJALXX:6:1204:17533:50955
DRPLA	WGSrpt_08	64	150	44	ok	chr12	7045855	7046004	83	ST-E00106:367:H7CNJALXX:7:1215:29021:14846
DRPLA	WGSrpt_08	60	150	44	ok	chr12	7045796	7045945	147	ST-E00106:367:H7CNJALXX:6:1124:14032:21403
DRPLA	WGSrpt_08	28	150	44	ok	chr12	7045736	7045885	147	ST-E00106:367:H7CNJALXX:7:1207:17137:10081
DRPLA	WGSrpt_08	67	150	18	ok	chr12	7045873	7046022	163	ST-E00106:367:H7CNJALXX:6:1208:16873:19504
